iter,base_p25,base_med,base_p75,vem_p25,vem_med,vem_p75,ecm_p25,ecm_med,ecm_p75,gem_p25,gem_med,gem_p75
70,4.419537,6.223024,7.582802,4.204320,5.938766,7.130465,4.419537,6.223024,7.582849,4.419537,6.223024,7.573944
71,4.419537,6.223024,7.582811,4.204320,5.938766,7.130465,4.419537,6.223024,7.582851,4.419537,6.223024,7.574557
72,4.419537,6.223024,7.582818,4.204320,5.938766,7.130465,4.419537,6.223024,7.582853,4.419537,6.223024,7.575128
73,4.419537,6.223024,7.582825,4.204320,5.938766,7.130465,4.419537,6.223024,7.582855,4.419537,6.223024,7.575661
74,4.419537,6.223024,7.582830,4.204320,5.938766,7.130465,4.419537,6.223024,7.582857,4.419537,6.223024,7.576158
75,4.419537,6.223024,7.582835,4.204320,5.938766,7.130465,4.419537,6.223024,7.582858,4.419537,6.223024,7.576621
76,4.419537,6.223024,7.582839,4.204320,5.938766,7.130465,4.419537,6.223024,7.582859,4.419537,6.223024,7.577052
77,4.419537,6.223024,7.582843,4.204320,5.938766,7.130465,4.419537,6.223024,7.582860,4.419537,6.223024,7.577454
78,4.419537,6.223024,7.582846,4.204320,5.938766,7.130465,4.419537,6.223024,7.582861,4.419537,6.223024,7.577829
79,4.419537,6.223024,7.582849,4.204320,5.938766,7.130465,4.419537,6.223024,7.582862,4.419537,6.223024,7.578179
80,4.419537,6.223024,7.582851,4.204320,5.938766,7.130464,4.419537,6.223024,7.582862,4.419537,6.223024,7.578504
